,ds,y
268,2022-06-16,487
269,2022-06-17,383
270,2022-06-18,41
271,2022-06-19,140
272,2022-06-20,565
273,2022-06-21,9879
274,2022-06-22,30712
275,2022-06-23,20955
276,2022-06-24,75978
277,2022-06-25,340
278,2022-06-26,29018
279,2022-06-27,22674
280,2022-06-28,14764
281,2022-06-29,13739
282,2022-06-30,14391
283,2022-07-01,12900
284,2022-07-02,865
285,2022-07-03,1032
286,2022-07-04,9731
287,2022-07-05,17053
288,2022-07-06,18103
289,2022-07-07,16568
290,2022-07-08,13333
291,2022-07-09,1157
292,2022-07-10,1017
293,2022-07-11,15718
294,2022-07-12,15894
295,2022-07-13,14821
296,2022-07-14,16165
297,2022-07-15,12666
298,2022-07-16,985
299,2022-07-17,1213
300,2022-07-18,15943
301,2022-07-19,16057
302,2022-07-20,15050
303,2022-07-21,14284
304,2022-07-22,15515
305,2022-07-23,1248
306,2022-07-24,1121
307,2022-07-25,14864
308,2022-07-26,17035
309,2022-07-27,15920
310,2022-07-28,15820
311,2022-07-29,13739
312,2022-07-30,20071
313,2022-07-31,30489
314,2022-08-01,18851
315,2022-08-02,19229
316,2022-08-03,2559
317,2022-08-04,2429
318,2022-08-05,11110
319,2022-08-06,18393
320,2022-08-07,16932
321,2022-08-08,14917
322,2022-08-09,13422
323,2022-08-10,1172
324,2022-08-11,1281
325,2022-08-12,16778
326,2022-08-13,15346
327,2022-08-14,14758
328,2022-08-15,13722
329,2022-08-16,13680
330,2022-08-17,1040
331,2022-08-18,1111
332,2022-08-19,15682
333,2022-08-20,15673
334,2022-08-21,14068
335,2022-08-22,13845
336,2022-08-23,12869
337,2022-08-24,1495
338,2022-08-25,1084
339,2022-08-26,16006
340,2022-08-27,15515
341,2022-08-28,14239
342,2022-08-29,14412
343,2022-08-30,14487
344,2022-08-31,514
345,2022-09-01,9866
346,2022-09-02,28206
347,2022-09-03,16501
348,2022-09-04,16677
349,2022-09-05,15432
350,2022-09-06,1072
351,2022-09-07,1550
352,2022-09-08,15860
353,2022-09-09,15183
354,2022-09-10,14711
355,2022-09-11,13503
356,2022-09-12,13670
357,2022-09-13,1289
358,2022-09-14,1189
359,2022-09-15,12944
360,2022-09-16,15241
361,2022-09-17,14979
362,2022-09-18,12948
363,2022-09-19,12638
364,2022-09-20,1022
365,2022-09-21,1126
366,2022-09-22,15518
367,2022-09-23,15573
368,2022-09-24,14700
369,2022-09-25,14751
370,2022-09-26,13060
371,2022-09-27,650
372,2022-09-28,1169
